"","YEAR","PBI_2007_BASE"
"1",1922,13309
"2",1923,14085
"3",1924,15428
"4",1925,15804
"5",1926,17336
"6",1927,17727
"7",1928,18744
"8",1929,20727
"9",1930,18613
"10",1931,17540
"11",1932,17156
"12",1933,18752
"13",1934,21001
"14",1935,22871
"15",1936,24030
"16",1937,24603
"17",1938,25212
"18",1939,25722
"19",1940,26430
"20",1941,26787
"21",1942,26232
"22",1943,26937
"23",1944,29142
"24",1945,30539
"25",1946,32495
"26",1947,33555
"27",1948,34838
"28",1949,37700
"29",1950,40920
"30",1951,44711
"31",1952,47347
"32",1953,50085
"33",1954,52762
"34",1955,55858
"35",1956,58484
"36",1957,62371
"37",1958,61706
"38",1959,63653
"39",1960,69946
"40",1961,75085
"41",1962,82620
"42",1963,86196
"43",1964,91840
"44",1965,97003
"45",1966,104995
"46",1967,109040
"47",1968,109206
"48",1969,113044
"49",1970,116849
"50",1971,122213
"51",1972,126463
"52",1973,134401
"53",1974,147017
"54",1975,153340
"55",1976,155559
"56",1977,156102
"57",1978,151977
"58",1979,158194
"59",1980,167596
"60",1981,176901
"61",1982,176507
"62",1983,158136
"63",1984,163842
"64",1985,167219
"65",1986,182981
"66",1987,200778
"67",1988,181822
"68",1989,159436
"69",1990,151492
"70",1991,154854
"71",1992,154017
"72",1993,162093
"73",1994,182044
"74",1995,195536
"75",1996,201010
"76",1997,214029
"77",1998,213190
"78",1999,216377
"79",2000,222207
"80",2001,223580
"81",2002,235773
"82",2003,245593
"83",2004,257770
"84",2005,273972
"85",2006,294598
"86",2007,319693
"87",2008,348870
"88",2009,352693
"89",2010,382081
"90",2011,406256
"91",2012,431199
"92",2013,456435
"93",2014,467308
"94",2015,482506
"95",2016,501581
"96",2017,514215
"97",2018,534665
"98",2019,546605
"99",2020,486403
"100",2021,552311
